"region";"civilstånd";"ålder";"kön";"2014"
"01 Stockholms län";"ogifta";"0-4 år";"män";75688
"01 Stockholms län";"ogifta";"0-4 år";"kvinnor";71266
"01 Stockholms län";"ogifta";"5-9 år";"män";71923
"01 Stockholms län";"ogifta";"5-9 år";"kvinnor";68009
"01 Stockholms län";"ogifta";"10-14 år";"män";62864
"01 Stockholms län";"ogifta";"10-14 år";"kvinnor";59715
"01 Stockholms län";"ogifta";"15-19 år";"män";58616
"01 Stockholms län";"ogifta";"15-19 år";"kvinnor";55392
"01 Stockholms län";"ogifta";"20-24 år";"män";69909
"01 Stockholms län";"ogifta";"20-24 år";"kvinnor";65728
"01 Stockholms län";"ogifta";"25-29 år";"män";71508
"01 Stockholms län";"ogifta";"25-29 år";"kvinnor";63923
"01 Stockholms län";"ogifta";"30-34 år";"män";55441
"01 Stockholms län";"ogifta";"30-34 år";"kvinnor";44336
"01 Stockholms län";"ogifta";"35-39 år";"män";38996
"01 Stockholms län";"ogifta";"35-39 år";"kvinnor";30665
"01 Stockholms län";"ogifta";"40-44 år";"män";31627
"01 Stockholms län";"ogifta";"40-44 år";"kvinnor";25288
"01 Stockholms län";"ogifta";"45-49 år";"män";26324
"01 Stockholms län";"ogifta";"45-49 år";"kvinnor";22289
"01 Stockholms län";"ogifta";"50-54 år";"män";21738
"01 Stockholms län";"ogifta";"50-54 år";"kvinnor";18598
"01 Stockholms län";"ogifta";"55-59 år";"män";16155
"01 Stockholms län";"ogifta";"55-59 år";"kvinnor";13614
"01 Stockholms län";"ogifta";"60-64 år";"män";11653
"01 Stockholms län";"ogifta";"60-64 år";"kvinnor";10095
"01 Stockholms län";"ogifta";"65-69 år";"män";9048
"01 Stockholms län";"ogifta";"65-69 år";"kvinnor";8273
"01 Stockholms län";"ogifta";"70-74 år";"män";5115
"01 Stockholms län";"ogifta";"70-74 år";"kvinnor";4755
"01 Stockholms län";"ogifta";"75-79 år";"män";2121
"01 Stockholms län";"ogifta";"75-79 år";"kvinnor";2419
"01 Stockholms län";"ogifta";"80-84 år";"män";1064
"01 Stockholms län";"ogifta";"80-84 år";"kvinnor";1512
"01 Stockholms län";"ogifta";"85-89 år";"män";503
"01 Stockholms län";"ogifta";"85-89 år";"kvinnor";1052
"01 Stockholms län";"ogifta";"90-94 år";"män";178
"01 Stockholms län";"ogifta";"90-94 år";"kvinnor";622
"01 Stockholms län";"ogifta";"95-99 år";"män";26
"01 Stockholms län";"ogifta";"95-99 år";"kvinnor";166
"01 Stockholms län";"ogifta";"100+ år";"män";3
"01 Stockholms län";"ogifta";"100+ år";"kvinnor";33
"01 Stockholms län";"gifta";"0-4 år";"män";0
"01 Stockholms län";"gifta";"0-4 år";"kvinnor";0
"01 Stockholms län";"gifta";"5-9 år";"män";0
"01 Stockholms län";"gifta";"5-9 år";"kvinnor";0
"01 Stockholms län";"gifta";"10-14 år";"män";0
"01 Stockholms län";"gifta";"10-14 år";"kvinnor";0
"01 Stockholms län";"gifta";"15-19 år";"män";24
"01 Stockholms län";"gifta";"15-19 år";"kvinnor";157
"01 Stockholms län";"gifta";"20-24 år";"män";1277
"01 Stockholms län";"gifta";"20-24 år";"kvinnor";4148
"01 Stockholms län";"gifta";"25-29 år";"män";9447
"01 Stockholms län";"gifta";"25-29 år";"kvinnor";16799
